page_id,text,label,Pattern Category,source_dataset
SYN_URG_0130,Checkout now to avoid missing today's offer. Offer subject to availability. A quick decision could save you money.,1,Urgency,synthetic
SYN_NOT_0329,Contact customer support. Offer subject to availability. Clear information with no pressure language.,0,Not Dark Pattern,synthetic
SYN_SOC_0214,Frequently bought by customers browsing this category. Terms apply.,1,Social Proof,synthetic
SYN_URG_0135,Checkout now to avoid missing today's offer. Available in office. Secure yours before it disappears.,1,Urgency,synthetic
SYN_MIS_0494,I do not want the better offer.,1,Misdirection,synthetic
SYN_NOT_0398,Read our returns information. Shop gaming mouse now. Neutral product information for shoppers.,0,Not Dark Pattern,synthetic
SYN_SOC_0002,One of the most viewed products right now. Shop water bottle now.,1,Social Proof,synthetic
SYN_NOT_0204,Contact customer support. Shop coffee maker now. Helpful guidance for the customer journey.,0,Not Dark Pattern,synthetic
SYN_SOC_0192,60 shoppers viewed this item in the last hour. Online only. Interest around this item is rising.,1,Social Proof,synthetic
SYN_NOT_0486,Filter by color and size. Available in fashion. Clear information with no pressure language.,0,Not Dark Pattern,synthetic
SYN_SOC_0442,Trending now with online shoppers. Visitors are engaging with this product right now.,1,Social Proof,synthetic
SYN_NOT_0179,Filter by color and size. Terms apply. Neutral product information for shoppers.,0,Not Dark Pattern,synthetic
SYN_URG_0162,Hurry — this promotion closes in 45 hours. Online only. Waiting may cost you this price.,1,Urgency,synthetic
SYN_URG_0409,Act now to keep your discount active.,1,Urgency,synthetic
SYN_NOT_0149,See product specifications. Terms apply. Transparent store information.,0,Not Dark Pattern,synthetic
SYN_SCA_0265,Almost gone: limited inventory remaining. Offer subject to availability.,1,Scarcity,synthetic
SYN_NOT_0173,Filter by color and size. Available in home. Helpful guidance for the customer journey.,0,Not Dark Pattern,synthetic
SYN_NOT_0195,Read care instructions. Online only. Transparent store information.,0,Not Dark Pattern,synthetic
SYN_SCA_0437,Only a handful remain in stock. Available in sports. Buyers are moving quickly on this item.,1,Scarcity,synthetic
SYN_SOC_0325,This product is getting a lot of attention right now. Shop skin serum now. Interest around this item is rising.,1,Social Proof,synthetic
SYN_MIS_0411,"No thanks, I prefer to pay full price. Available in beauty. The interface makes opting out feel costly.",1,Misdirection,synthetic
SYN_NOT_0307,Read care instructions. Shop winter jacket now. Helpful guidance for the customer journey.,0,Not Dark Pattern,synthetic
SYN_MIS_0366,"No, I don't want to claim this deal. Terms apply.",1,Misdirection,synthetic
SYN_NOT_0419,Browse related products. Online only. This is a straightforward navigation prompt.,0,Not Dark Pattern,synthetic
SYN_URG_0439,Act now to keep your discount active. Available in fashion. Don't miss out.,1,Urgency,synthetic
SYN_MIS_0340,"No thanks, I prefer to pay full price. Shop winter jacket now. The negative option is worded to discourage decline.",1,Misdirection,synthetic
SYN_NOT_0109,Browse related products. Shop winter jacket now.,0,Not Dark Pattern,synthetic
SYN_SOC_0385,This product is getting a lot of attention right now. Shop phone case now.,1,Social Proof,synthetic
SYN_SOC_0489,This product is getting a lot of attention right now. Shop skin serum now. Shoppers seem excited about this one.,1,Social Proof,synthetic
SYN_MIS_0374,Continue without protection or savings. The negative option is worded to discourage decline.,1,Misdirection,synthetic
SYN_SOC_0349,45 people added this item to cart today. Available in sports.,1,Social Proof,synthetic
SYN_NOT_0246,Add item to wishlist. Available in beauty. Clear information with no pressure language.,0,Not Dark Pattern,synthetic
SYN_MIS_0468,Skip the discount and move on. Online only. The reject path is framed in a guilt-inducing way.,1,Misdirection,synthetic
SYN_SCA_0021,Stock is nearly sold out. Shop winter jacket now. Buyers are moving quickly on this item.,1,Scarcity,synthetic
SYN_URG_0283,Only today: save 50% before the countdown expires. Offer subject to availability. A quick decision could save you money.,1,Urgency,synthetic
SYN_SCA_0266,Only 30 available in your selected size. Available in beauty. Buyers are moving quickly on this item.,1,Scarcity,synthetic
SYN_NOT_0465,See product specifications. Shop gaming mouse now.,0,Not Dark Pattern,synthetic
SYN_SOC_0227,One of the most viewed products right now. Available in sports. It is drawing strong customer interest.,1,Social Proof,synthetic
SYN_URG_0194,Your reserved price expires in 5 minutes. Offer subject to availability.,1,Urgency,synthetic
SYN_SCA_0151,Low stock alert: just 2 items remain. Available in sports. This item is close to selling out.,1,Scarcity,synthetic
SYN_URG_0163,Your reserved price expires in 1 minutes. Online only. Waiting may cost you this price.,1,Urgency,synthetic
SYN_MIS_0407,Ignore the bundle and keep fewer benefits. Shop water bottle now. The interface makes opting out feel costly.,1,Misdirection,synthetic
SYN_MIS_0434,Ignore the bundle and keep fewer benefits. Offer subject to availability.,1,Misdirection,synthetic
SYN_NOT_0309,Browse related products. Online only. Clear information with no pressure language.,0,Not Dark Pattern,synthetic
SYN_URG_0388,Complete your order in the next 5 minutes to keep this deal. Online only. A quick decision could save you money.,1,Urgency,synthetic
SYN_NOT_0327,Add item to wishlist. Terms apply. Neutral product information for shoppers.,0,Not Dark Pattern,synthetic
SYN_MIS_0199,Continue without protection or savings. Offer subject to availability.,1,Misdirection,synthetic
SYN_MIS_0412,Proceed without applying the available coupon. Available in fashion. This option makes the lower-value path easier to click by mistake.,1,Misdirection,synthetic
SYN_URG_0377,Checkout now to avoid missing today's offer. Shop travel mug now. A quick decision could save you money.,1,Urgency,synthetic
SYN_SCA_0461,Only 45 available in your selected size. Online only.,1,Scarcity,synthetic
SYN_URG_0200,Flash sale ends soon — secure your cart in 3 minutes. Shop hoodie now. A quick decision could save you money.,1,Urgency,synthetic
SYN_SOC_0133,This product is getting a lot of attention right now. Online only. Visitors are engaging with this product right now.,1,Social Proof,synthetic
SYN_NOT_0138,See product specifications.,0,Not Dark Pattern,synthetic
SYN_MIS_0246,Continue without protection or savings. Shop skin serum now. This option makes the lower-value path easier to click by mistake.,1,Misdirection,synthetic
SYN_URG_0461,Hurry — this promotion closes in 7 hours. Offer subject to availability. Secure yours before it disappears.,1,Urgency,synthetic
SYN_SOC_0058,Best-selling item in its collection. Shop skin serum now. Visitors are engaging with this product right now.,1,Social Proof,synthetic
SYN_SCA_0370,Almost gone: limited inventory remaining. It may not be available later today.,1,Scarcity,synthetic
SYN_MIS_0012,Continue without protection or savings. Offer subject to availability. The negative option is worded to discourage decline.,1,Misdirection,synthetic
SYN_SOC_0022,12 shoppers viewed this item in the last hour.,1,Social Proof,synthetic
SYN_URG_0042,Flash sale ends soon — secure your cart in 4 minutes. Available in sports. Secure yours before it disappears.,1,Urgency,synthetic
SYN_SOC_0263,One of the most viewed products right now. Available in accessories. Interest around this item is rising.,1,Social Proof,synthetic
SYN_SCA_0041,Stock is nearly sold out. Offer subject to availability. This item is close to selling out.,1,Scarcity,synthetic
SYN_MIS_0485,Continue without savings. Shop notebook now. This option makes the lower-value path easier to click by mistake.,1,Misdirection,synthetic
SYN_MIS_0324,"No thanks, I prefer to pay full price. Available in home. The safer choice is visually downplayed here.",1,Misdirection,synthetic
SYN_NOT_0399,Filter by color and size. Terms apply. This is a straightforward navigation prompt.,0,Not Dark Pattern,synthetic
SYN_URG_0442,Final hours to claim 50% off selected items. Online only.,1,Urgency,synthetic
SYN_SCA_0037,Few left at this price. Shop travel mug now. It may not be available later today.,1,Scarcity,synthetic
SYN_NOT_0210,Open the size guide. Online only. Clear information with no pressure language.,0,Not Dark Pattern,synthetic
SYN_MIS_0178,Continue without protection or savings. Shop gaming mouse now. The safer choice is visually downplayed here.,1,Misdirection,synthetic
SYN_URG_0353,Act now to keep your discount active. Don't miss out.,1,Urgency,synthetic
SYN_NOT_0182,Read care instructions. Online only. Neutral product information for shoppers.,0,Not Dark Pattern,synthetic
SYN_NOT_0185,Read our returns information. Online only. Clear information with no pressure language.,0,Not Dark Pattern,synthetic
SYN_SOC_0210,This product is getting a lot of attention right now. Terms apply. Shoppers seem excited about this one.,1,Social Proof,synthetic
SYN_MIS_0235,Leave this page without unlocking extra value. Online only.,1,Misdirection,synthetic
SYN_SCA_0202,Few left at this price. Terms apply. Popular sizes are disappearing fast.,1,Scarcity,synthetic
SYN_NOT_0212,Read our returns information. Shop winter jacket now. Neutral product information for shoppers.,0,Not Dark Pattern,synthetic
SYN_SOC_0104,This product is getting a lot of attention right now. It is drawing strong customer interest.,1,Social Proof,synthetic
SYN_SOC_0239,Frequently bought by customers browsing this category. Shop running shoes now.,1,Social Proof,synthetic
SYN_SOC_0282,Frequently bought by customers browsing this category. Online only. People are paying attention to this item.,1,Social Proof,synthetic
SYN_URG_0484,This special price ends in 45 hours. Offer subject to availability. Secure yours before it disappears.,1,Urgency,synthetic
SYN_SCA_0269,"Selling fast — only 3 units available. Offer subject to availability. If you wait, stock may run out.",1,Scarcity,synthetic
SYN_URG_0366,Flash sale ends soon — secure your cart in 25 minutes. Terms apply. Secure yours before it disappears.,1,Urgency,synthetic
SYN_SCA_0224,Low stock alert: just 8 items remain. Online only.,1,Scarcity,synthetic
SYN_URG_0093,Final hours to claim 50% off selected items. Terms apply.,1,Urgency,synthetic
SYN_URG_0146,Checkout now to avoid missing today's offer. Terms apply. Secure yours before it disappears.,1,Urgency,synthetic
SYN_URG_0407,Last chance to unlock this offer before midnight. Available in sports.,1,Urgency,synthetic
SYN_URG_0058,Act now to keep your discount active. Available in office. Waiting may cost you this price.,1,Urgency,synthetic
SYN_SOC_0276,15 people added this item to cart today. It is drawing strong customer interest.,1,Social Proof,synthetic
SYN_NOT_0322,Contact customer support. Online only. This is a straightforward navigation prompt.,0,Not Dark Pattern,synthetic
SYN_SCA_0328,Selling fast — only 3 units available. Buyers are moving quickly on this item.,1,Scarcity,synthetic
SYN_NOT_0144,Read our returns information. This is a straightforward navigation prompt.,0,Not Dark Pattern,synthetic
SYN_MIS_0334,Skip the discount and move on. Shop sneakers now. The safer choice is visually downplayed here.,1,Misdirection,synthetic
SYN_MIS_0092,Dismiss the offer and continue checkout. Online only. The safer choice is visually downplayed here.,1,Misdirection,synthetic
SYN_NOT_0373,Add item to wishlist.,0,Not Dark Pattern,synthetic
SYN_SCA_0485,Only 30 left in stock. Online only. This item is close to selling out.,1,Scarcity,synthetic
SYN_MIS_0378,Ignore the bundle and keep fewer benefits. The safer choice is visually downplayed here.,1,Misdirection,synthetic
SYN_SCA_0463,"Only a handful remain in stock. Online only. If you wait, stock may run out.",1,Scarcity,synthetic
SYN_MIS_0426,Dismiss the offer and continue checkout. Available in sports. The negative option is worded to discourage decline.,1,Misdirection,synthetic
SYN_MIS_0122,Proceed without applying the available coupon. Terms apply. This option makes the lower-value path easier to click by mistake.,1,Misdirection,synthetic
SYN_SCA_0027,Selling fast — only 25 units available. Available in fashion.,1,Scarcity,synthetic
SYN_MIS_0457,Leave this page without unlocking extra value. Available in accessories.,1,Misdirection,synthetic
SYN_SOC_0313,One of the most viewed products right now. Available in electronics. Interest around this item is rising.,1,Social Proof,synthetic
SYN_SCA_0335,Few left at this price. This item is close to selling out.,1,Scarcity,synthetic
SYN_NOT_0076,Contact customer support. Offer subject to availability. Neutral product information for shoppers.,0,Not Dark Pattern,synthetic
SYN_URG_0184,This special price ends in 10 hours. Don't miss out.,1,Urgency,synthetic
SYN_SCA_0260,Almost gone: limited inventory remaining. Shop gaming mouse now. It may not be available later today.,1,Scarcity,synthetic
SYN_URG_0376,Last chance to unlock this offer before midnight. Available in accessories.,1,Urgency,synthetic
SYN_NOT_0305,View shipping policy. Terms apply. Helpful guidance for the customer journey.,0,Not Dark Pattern,synthetic
SYN_SOC_0255,2 shoppers viewed this item in the last hour. Offer subject to availability. Interest around this item is rising.,1,Social Proof,synthetic
SYN_MIS_0451,Continue without savings. This option makes the lower-value path easier to click by mistake.,1,Misdirection,synthetic
SYN_NOT_0378,Read our returns information. Available in fashion. Clear information with no pressure language.,0,Not Dark Pattern,synthetic
SYN_MIS_0074,Continue without savings. Available in beauty. The reject path is framed in a guilt-inducing way.,1,Misdirection,synthetic
SYN_SCA_0114,Few left at this price. Online only. Buyers are moving quickly on this item.,1,Scarcity,synthetic
SYN_URG_0091,Hurry — this promotion closes in 10 hours. Online only. Don't miss out.,1,Urgency,synthetic
SYN_URG_0469,Last chance to unlock this offer before midnight. Shop wireless earbuds now. Don't miss out.,1,Urgency,synthetic
SYN_URG_0276,Your reserved price expires in 3 minutes. Offer subject to availability. This could be your best offer today.,1,Urgency,synthetic
SYN_URG_0468,Your reserved price expires in 7 minutes. Available in electronics. Don't miss out.,1,Urgency,synthetic
SYN_SCA_0148,Demand is high and supply is limited. Shop winter jacket now. Buyers are moving quickly on this item.,1,Scarcity,synthetic
SYN_NOT_0312,Check delivery options. Shop travel mug now.,0,Not Dark Pattern,synthetic
SYN_SCA_0052,Few left at this price. Offer subject to availability. It may not be available later today.,1,Scarcity,synthetic
SYN_SCA_0341,Few left at this price. Online only. This item is close to selling out.,1,Scarcity,synthetic
SYN_SCA_0132,Selling fast — only 60 units available. Terms apply. Popular sizes are disappearing fast.,1,Scarcity,synthetic
SYN_URG_0338,Hurry — this promotion closes in 2 hours. Shop notebook now. Secure yours before it disappears.,1,Urgency,synthetic
SYN_NOT_0347,Browse related products. Transparent store information.,0,Not Dark Pattern,synthetic
SYN_SCA_0007,Selling fast — only 45 units available. This item is close to selling out.,1,Scarcity,synthetic
SYN_SOC_0280,One of the most viewed products right now. Terms apply. People are paying attention to this item.,1,Social Proof,synthetic
SYN_MIS_0103,I do not want the better offer. Terms apply. The negative option is worded to discourage decline.,1,Misdirection,synthetic
SYN_SCA_0354,Inventory is running low on this item. Available in beauty. This item is close to selling out.,1,Scarcity,synthetic
SYN_SOC_0459,60 people added this item to cart today. Online only.,1,Social Proof,synthetic
SYN_SOC_0051,25 people added this item to cart today. Shoppers seem excited about this one.,1,Social Proof,synthetic
SYN_MIS_0142,Continue without protection or savings. The reject path is framed in a guilt-inducing way.,1,Misdirection,synthetic
SYN_URG_0496,Last chance to unlock this offer before midnight. Offer subject to availability.,1,Urgency,synthetic
SYN_MIS_0221,Proceed without applying the available coupon. Online only. The reject path is framed in a guilt-inducing way.,1,Misdirection,synthetic
SYN_MIS_0345,"No thanks, I prefer to pay full price. Shop wireless earbuds now. The interface makes opting out feel costly.",1,Misdirection,synthetic
SYN_URG_0060,Hurry — this promotion closes in 3 hours. Offer subject to availability. Secure yours before it disappears.,1,Urgency,synthetic
SYN_SCA_0130,Stock is nearly sold out. Popular sizes are disappearing fast.,1,Scarcity,synthetic
SYN_SCA_0242,Only 7 available in your selected size. Offer subject to availability. It may not be available later today.,1,Scarcity,synthetic
SYN_MIS_0190,Skip the discount and move on. Offer subject to availability. The negative option is worded to discourage decline.,1,Misdirection,synthetic
SYN_MIS_0289,I do not want the better offer. Terms apply. The interface makes opting out feel costly.,1,Misdirection,synthetic
SYN_URG_0212,Last chance to unlock this offer before midnight. Available in electronics.,1,Urgency,synthetic
SYN_SOC_0445,One of the most viewed products right now. Offer subject to availability. Visitors are engaging with this product right now.,1,Social Proof,synthetic
SYN_SCA_0484,Only 7 available in your selected size. Offer subject to availability. This item is close to selling out.,1,Scarcity,synthetic
SYN_SOC_0295,Best-selling item in its collection. Shop coffee maker now. Visitors are engaging with this product right now.,1,Social Proof,synthetic
SYN_SOC_0088,Best-selling item in its collection. Terms apply. It is drawing strong customer interest.,1,Social Proof,synthetic
SYN_MIS_0170,Skip the discount and move on. Shop notebook now.,1,Misdirection,synthetic
SYN_URG_0290,Checkout now to avoid missing today's offer. Shop coffee maker now. Waiting may cost you this price.,1,Urgency,synthetic
SYN_URG_0304,Your reserved price expires in 7 minutes. A quick decision could save you money.,1,Urgency,synthetic
SYN_SCA_0194,Selling fast — only 15 units available. Shop phone case now. Popular sizes are disappearing fast.,1,Scarcity,synthetic
SYN_SOC_0237,Best-selling item in its collection. Interest around this item is rising.,1,Social Proof,synthetic
SYN_SCA_0418,Almost gone: limited inventory remaining. Shop yoga mat now. Popular sizes are disappearing fast.,1,Scarcity,synthetic
SYN_MIS_0491,Continue without savings. Online only. The reject path is framed in a guilt-inducing way.,1,Misdirection,synthetic
SYN_NOT_0164,Browse related products. Offer subject to availability. Helpful guidance for the customer journey.,0,Not Dark Pattern,synthetic
SYN_URG_0421,Flash sale ends soon — secure your cart in 30 minutes. Shop backpack now. A quick decision could save you money.,1,Urgency,synthetic
SYN_MIS_0024,Continue without savings. Shop notebook now. The interface makes opting out feel costly.,1,Misdirection,synthetic
SYN_MIS_0167,"No thanks, I prefer to pay full price. Shop travel mug now.",1,Misdirection,synthetic
SYN_URG_0168,Only today: save 25% before the countdown expires. Online only. A quick decision could save you money.,1,Urgency,synthetic
SYN_MIS_0155,I do not want the better offer. Online only. The interface makes opting out feel costly.,1,Misdirection,synthetic
SYN_MIS_0255,Continue without savings.,1,Misdirection,synthetic
SYN_NOT_0424,Contact customer support. Helpful guidance for the customer journey.,0,Not Dark Pattern,synthetic
SYN_NOT_0430,Filter by color and size. Terms apply. Transparent store information.,0,Not Dark Pattern,synthetic
SYN_URG_0302,This special price ends in 12 hours. Terms apply. Waiting may cost you this price.,1,Urgency,synthetic
SYN_SCA_0008,Selling fast — only 7 units available. Shop desk lamp now. Popular sizes are disappearing fast.,1,Scarcity,synthetic
SYN_URG_0248,Last chance to unlock this offer before midnight. Terms apply. This could be your best offer today.,1,Urgency,synthetic
SYN_SOC_0410,This product is getting a lot of attention right now. Shop gaming mouse now. Visitors are engaging with this product right now.,1,Social Proof,synthetic
SYN_SCA_0389,Only a handful remain in stock. Shop yoga mat now.,1,Scarcity,synthetic
SYN_URG_0150,Flash sale ends soon — secure your cart in 8 minutes. Shop hoodie now.,1,Urgency,synthetic
SYN_MIS_0035,Continue without savings. Terms apply. This option makes the lower-value path easier to click by mistake.,1,Misdirection,synthetic
SYN_URG_0498,Complete your order in the next 45 minutes to keep this deal. Shop skin serum now.,1,Urgency,synthetic
SYN_MIS_0165,Skip the discount and move on. Available in office.,1,Misdirection,synthetic
SYN_URG_0399,Final hours to claim 20% off selected items. Shop desk lamp now. This could be your best offer today.,1,Urgency,synthetic
SYN_SOC_0384,Trending now with online shoppers. Offer subject to availability. It is drawing strong customer interest.,1,Social Proof,synthetic
SYN_SOC_0134,One of the most viewed products right now. Online only. Visitors are engaging with this product right now.,1,Social Proof,synthetic
SYN_NOT_0220,Check delivery options. Shop coffee maker now. Neutral product information for shoppers.,0,Not Dark Pattern,synthetic
SYN_MIS_0384,"No thanks, I prefer to pay full price. Available in electronics. The negative option is worded to discourage decline.",1,Misdirection,synthetic
SYN_NOT_0176,Contact customer support. Online only. Clear information with no pressure language.,0,Not Dark Pattern,synthetic
SYN_SOC_0309,3 shoppers viewed this item in the last hour. Terms apply.,1,Social Proof,synthetic
SYN_MIS_0076,Continue without protection or savings. Available in sports. The interface makes opting out feel costly.,1,Misdirection,synthetic
SYN_NOT_0275,Open the size guide.,0,Not Dark Pattern,synthetic
SYN_MIS_0417,Leave this page without unlocking extra value. Shop hoodie now. The reject path is framed in a guilt-inducing way.,1,Misdirection,synthetic
SYN_SOC_0115,1 shoppers viewed this item in the last hour. Terms apply. Shoppers seem excited about this one.,1,Social Proof,synthetic
SYN_NOT_0350,Read care instructions. Terms apply. This is a straightforward navigation prompt.,0,Not Dark Pattern,synthetic
SYN_SCA_0053,Only 30 left in stock. Shop phone case now. Popular sizes are disappearing fast.,1,Scarcity,synthetic
SYN_SCA_0235,Low stock alert: just 45 items remain. Online only. Popular sizes are disappearing fast.,1,Scarcity,synthetic
SYN_URG_0157,Hurry — this promotion closes in 20 hours. Terms apply. Secure yours before it disappears.,1,Urgency,synthetic
SYN_URG_0109,Final hours to claim 40% off selected items. Available in office. This could be your best offer today.,1,Urgency,synthetic
SYN_URG_0175,Act now to keep your discount active. This could be your best offer today.,1,Urgency,synthetic
SYN_NOT_0022,Add item to wishlist. Available in sports.,0,Not Dark Pattern,synthetic
SYN_SOC_0039,3 shoppers viewed this item in the last hour. It is drawing strong customer interest.,1,Social Proof,synthetic
SYN_MIS_0301,I do not want the better offer. Terms apply. This option makes the lower-value path easier to click by mistake.,1,Misdirection,synthetic
SYN_SCA_0393,Only 45 available in your selected size. Offer subject to availability.,1,Scarcity,synthetic
SYN_URG_0176,Final hours to claim 50% off selected items. Online only. This could be your best offer today.,1,Urgency,synthetic
SYN_SCA_0394,Only a handful remain in stock. Terms apply.,1,Scarcity,synthetic
SYN_SCA_0290,Only a handful remain in stock. Terms apply. It may not be available later today.,1,Scarcity,synthetic
SYN_NOT_0177,Read care instructions. Transparent store information.,0,Not Dark Pattern,synthetic
SYN_NOT_0269,Browse related products. Offer subject to availability.,0,Not Dark Pattern,synthetic
SYN_SOC_0363,A top pick among recent visitors. Terms apply. People are paying attention to this item.,1,Social Proof,synthetic
SYN_NOT_0362,Read our returns information. Shop running shoes now. Transparent store information.,0,Not Dark Pattern,synthetic
SYN_MIS_0480,Dismiss the offer and continue checkout. Terms apply. This option makes the lower-value path easier to click by mistake.,1,Misdirection,synthetic
SYN_SCA_0272,Only 2 available in your selected size. Terms apply. Buyers are moving quickly on this item.,1,Scarcity,synthetic
SYN_NOT_0407,Contact customer support. Shop skin serum now. Neutral product information for shoppers.,0,Not Dark Pattern,synthetic
SYN_MIS_0094,Ignore the bundle and keep fewer benefits. Online only. This option makes the lower-value path easier to click by mistake.,1,Misdirection,synthetic
SYN_URG_0368,Complete your order in the next 15 minutes to keep this deal. Available in electronics. This could be your best offer today.,1,Urgency,synthetic
SYN_SCA_0146,"Inventory is running low on this item. Available in fashion. If you wait, stock may run out.",1,Scarcity,synthetic
SYN_SCA_0264,Inventory is running low on this item. Offer subject to availability. Popular sizes are disappearing fast.,1,Scarcity,synthetic
SYN_MIS_0065,Proceed without applying the available coupon. Shop running shoes now.,1,Misdirection,synthetic
SYN_NOT_0338,View shipping policy. Available in office. Helpful guidance for the customer journey.,0,Not Dark Pattern,synthetic
SYN_SOC_0274,Trending now with online shoppers. It is drawing strong customer interest.,1,Social Proof,synthetic
SYN_SOC_0015,Many shoppers are checking out this item today. Shop backpack now. People are paying attention to this item.,1,Social Proof,synthetic
SYN_MIS_0044,Leave this page without unlocking extra value. Terms apply. The interface makes opting out feel costly.,1,Misdirection,synthetic
SYN_URG_0280,Flash sale ends soon — secure your cart in 3 minutes. Terms apply. Don't miss out.,1,Urgency,synthetic
SYN_SOC_0046,One of the most viewed products right now. Shop hoodie now.,1,Social Proof,synthetic
SYN_URG_0260,Only today: save 10% before the countdown expires. Shop backpack now. Secure yours before it disappears.,1,Urgency,synthetic
SYN_SCA_0133,"Low stock alert: just 7 items remain. Offer subject to availability. If you wait, stock may run out.",1,Scarcity,synthetic
SYN_SCA_0319,Only 2 available in your selected size. Terms apply. It may not be available later today.,1,Scarcity,synthetic
SYN_URG_0209,Checkout now to avoid missing today's offer. Shop wireless earbuds now. Waiting may cost you this price.,1,Urgency,synthetic
SYN_SCA_0049,Inventory is running low on this item. Shop water bottle now. Buyers are moving quickly on this item.,1,Scarcity,synthetic
SYN_URG_0170,Flash sale ends soon — secure your cart in 60 minutes. Online only. A quick decision could save you money.,1,Urgency,synthetic
SYN_SCA_0474,Demand is high and supply is limited. Online only.,1,Scarcity,synthetic
SYN_SCA_0188,"Only 7 available in your selected size. If you wait, stock may run out.",1,Scarcity,synthetic
SYN_SCA_0480,"Inventory is running low on this item. Terms apply. If you wait, stock may run out.",1,Scarcity,synthetic
SYN_SOC_0193,Popular choice this week. Shop backpack now.,1,Social Proof,synthetic
